Deputy_ID,Deputy_Name,Constituency,Parliamentary_Group,URL,Committee_Name,Committee_URL,Role
27,Biro Daniel-Rãzvan,28 / MUREȘ,AUR,https://cdep.ro/pls/parlam/structura2015.mp?idm=27,Comisia pentru administraţie publică şi amenajarea teritoriului,http://www.cdep.ro/pls/parlam/structura2015.co?idc=6&cam=2&leg=2024&idl=1,Vicepreşedinte
28,Biró Rozália-Ibolya,5 / BIHOR,UDMR,https://cdep.ro/pls/parlam/structura2015.mp?idm=28,Comisia pentru afaceri europene,http://www.cdep.ro/pls/parlam/structura2015.co?idc=33&cam=2&leg=2024&idl=1,Vicepreşedinte
28,Biró Rozália-Ibolya,5 / BIHOR,UDMR,https://cdep.ro/pls/parlam/structura2015.mp?idm=28,Comisia pentru antreprenoriat şi turism,http://www.cdep.ro/pls/parlam/structura2015.co?idc=240&cam=2&leg=2024&idl=1,
29,Blaga Daniel-Codruț,16 / DÂMBOVIȚA,USR,https://cdep.ro/pls/parlam/structura2015.mp?idm=29,"Comisia pentru agricultură, silvicultură, industrie alimentară şi servicii specifice",http://www.cdep.ro/pls/parlam/structura2015.co?idc=4&cam=2&leg=2024&idl=1,Secretar
29,Blaga Daniel-Codruț,16 / DÂMBOVIȚA,USR,https://cdep.ro/pls/parlam/structura2015.mp?idm=29,Comisia pentru știință și tehnologie,http://www.cdep.ro/pls/parlam/structura2015.co?idc=72&cam=2&leg=2024&idl=1,
30,Bode Lucian Nicolae,33 / SÃLAJ,PNL,https://cdep.ro/pls/parlam/structura2015.mp?idm=30,Comisia pentru transporturi şi infrastructură,http://www.cdep.ro/pls/parlam/structura2015.co?idc=34&cam=2&leg=2024&idl=1,Preşedinte
30,Bode Lucian Nicolae,33 / SÃLAJ,PNL,https://cdep.ro/pls/parlam/structura2015.mp?idm=30,Comisia pentru știință și tehnologie,http://www.cdep.ro/pls/parlam/structura2015.co?idc=72&cam=2&leg=2024&idl=1,
31,Bogdan Ionel-Ovidiu,26 / MARAMUREȘ,PNL,https://cdep.ro/pls/parlam/structura2015.mp?idm=31,"Comisia pentru buget, finanţe şi bănci",http://www.cdep.ro/pls/parlam/structura2015.co?idc=2&cam=2&leg=2024&idl=1,Vicepreşedinte
31,Bogdan Ionel-Ovidiu,26 / MARAMUREȘ,PNL,https://cdep.ro/pls/parlam/structura2015.mp?idm=31,Comisia pentru afaceri europene,http://www.cdep.ro/pls/parlam/structura2015.co?idc=33&cam=2&leg=2024&idl=1,
32,Bogdãnel Lucian-Gabriel,4 / BACÃU,PSD,https://cdep.ro/pls/parlam/structura2015.mp?idm=32,Comisia pentru administraţie publică şi amenajarea teritoriului,http://www.cdep.ro/pls/parlam/structura2015.co?idc=6&cam=2&leg=2024&idl=1,
32,Bogdãnel Lucian-Gabriel,4 / BACÃU,PSD,https://cdep.ro/pls/parlam/structura2015.mp?idm=32,"Comisia pentru cultură, arte, mijloace de informare în masă",http://www.cdep.ro/pls/parlam/structura2015.co?idc=10&cam=2&leg=2024&idl=1,Secretar
33,Bordian Alexandru,18 / GALAȚI,AUR,https://cdep.ro/pls/parlam/structura2015.mp?idm=33,"Comisia pentru drepturile omului, culte şi problemele minorităţilor naţionale",http://www.cdep.ro/pls/parlam/structura2015.co?idc=5&cam=2&leg=2024&idl=1,
34,Borș George-Mãdãlin,36 / TELEORMAN,PSD,https://cdep.ro/pls/parlam/structura2015.mp?idm=34,Comisia pentru industrii şi servicii,http://www.cdep.ro/pls/parlam/structura2015.co?idc=3&cam=2&leg=2024&idl=1,
34,Borș George-Mãdãlin,36 / TELEORMAN,PSD,https://cdep.ro/pls/parlam/structura2015.mp?idm=34,Comisia pentru tehnologia informaţiei şi comunicaţiilor,http://www.cdep.ro/pls/parlam/structura2015.co?idc=19&cam=2&leg=2024&idl=1,Secretar
35,Boșutar Tiberiu-Nicolae,6 / BISTRIȚA-NÃSÃUD,AUR,https://cdep.ro/pls/parlam/structura2015.mp?idm=35,"Comisia pentru agricultură, silvicultură, industrie alimentară şi servicii specifice",http://www.cdep.ro/pls/parlam/structura2015.co?idc=4&cam=2&leg=2024&idl=1,
35,Boșutar Tiberiu-Nicolae,6 / BISTRIȚA-NÃSÃUD,AUR,https://cdep.ro/pls/parlam/structura2015.mp?idm=35,Comisia pentru mediu şi echilibru ecologic,http://www.cdep.ro/pls/parlam/structura2015.co?idc=46&cam=2&leg=2024&idl=1,Secretar
36,Botez Mihai-Cãtãlin,39 / VASLUI,USR,https://cdep.ro/pls/parlam/structura2015.mp?idm=36,"Comisia pentru politică economică, reformă şi privatizare",http://www.cdep.ro/pls/parlam/structura2015.co?idc=1&cam=2&leg=2024&idl=1,Vicepreşedinte
36,Botez Mihai-Cãtãlin,39 / VASLUI,USR,https://cdep.ro/pls/parlam/structura2015.mp?idm=36,"Comisia pentru buget, finanţe şi bănci",http://www.cdep.ro/pls/parlam/structura2015.co?idc=2&cam=2&leg=2024&idl=1,
37,Bouda Ștefan,,Minoritati,https://cdep.ro/pls/parlam/structura2015.mp?idm=37,"Comisia pentru apărare, ordine publică şi siguranţă naţională",http://www.cdep.ro/pls/parlam/structura2015.co?idc=12&cam=2&leg=2024&idl=1,
37,Bouda Ștefan,,Minoritati,https://cdep.ro/pls/parlam/structura2015.mp?idm=37,Comisia pentru antreprenoriat şi turism,http://www.cdep.ro/pls/parlam/structura2015.co?idc=240&cam=2&leg=2024&idl=1,
38,Bruynseels Ramona-Ioana,13 / CLUJ,AUR,https://cdep.ro/pls/parlam/structura2015.mp?idm=38,"Comisia pentru buget, finanţe şi bănci",http://www.cdep.ro/pls/parlam/structura2015.co?idc=2&cam=2&leg=2024&idl=1,
38,Bruynseels Ramona-Ioana,13 / CLUJ,AUR,https://cdep.ro/pls/parlam/structura2015.mp?idm=38,"Comisia pentru apărare, ordine publică şi siguranţă naţională",http://www.cdep.ro/pls/parlam/structura2015.co?idc=12&cam=2&leg=2024&idl=1,Secretar
39,Bucur Ariana-Oana,8 / BRAȘOV,PSD,https://cdep.ro/pls/parlam/structura2015.mp?idm=39,Comisia pentru muncă şi protecţie socială,http://www.cdep.ro/pls/parlam/structura2015.co?idc=7&cam=2&leg=2024&idl=1,
39,Bucur Ariana-Oana,8 / BRAȘOV,PSD,https://cdep.ro/pls/parlam/structura2015.mp?idm=39,Comisia pentru învăţământ,http://www.cdep.ro/pls/parlam/structura2015.co?idc=9&cam=2&leg=2024&idl=1,Vicepreşedinte
40,Bucura-Oprescu Simona,3 / ARGEȘ,PSD,https://cdep.ro/pls/parlam/structura2015.mp?idm=40,Comisia pentru administraţie publică şi amenajarea teritoriului,http://www.cdep.ro/pls/parlam/structura2015.co?idc=6&cam=2&leg=2024&idl=1,
40,Bucura-Oprescu Simona,3 / ARGEȘ,PSD,https://cdep.ro/pls/parlam/structura2015.mp?idm=40,Comisia pentru afaceri europene,http://www.cdep.ro/pls/parlam/structura2015.co?idc=33&cam=2&leg=2024&idl=1,
41,Budacã Vasile,4 / BACÃU,PSD,https://cdep.ro/pls/parlam/structura2015.mp?idm=41,Comisia pentru egalitatea de şanse pentru femei şi bărbaţi,http://www.cdep.ro/pls/parlam/structura2015.co?idc=20&cam=2&leg=2024&idl=1,
41,Budacã Vasile,4 / BACÃU,PSD,https://cdep.ro/pls/parlam/structura2015.mp?idm=41,Comisia pentru mediu şi echilibru ecologic,http://www.cdep.ro/pls/parlam/structura2015.co?idc=46&cam=2&leg=2024&idl=1,
